nombre,categoria,precio,codigo,estado,esPedido,img,desc
Cadena con dije cilindro,cadenas_dijes,15,[P-CDD-221],pedido,TRUE,cadenas_dijes/cadena_dije_4.jpg,Cadena con dije cilindro plata 925.
Cadena con dije inicial,cadenas_dijes,17,[P-CDD-152],pedido,TRUE,cadenas_dijes/cadena_dije_5.jpg,"Collar en plata ley 925 dije inicial microcircones 9 mm ""R-Z-W-S-D-T-I-F-A-P-K-N-G-O-H-J-B-Y-V-U-X-E-M-L-C""."
Cadena con dije inicial,cadenas_dijes,17,[P-CDD-128],pedido,TRUE,cadenas_dijes/cadena_dije_6.jpg,"Collar en plata ley 925 dije inicial microcircones 1.2 cm ""B-J-I-N-S-V-K-R-G-Y-P-L-M-F-Z-T""."
Cadena con dije huellitas,cadenas_dijes,18,[P-CDD-232],pedido,TRUE,cadenas_dijes/cadena_dije_7.jpg,Collar en plata ley 925 huellitas microcircones blancos.
Cadena con dije rombo,cadenas_dijes,23,[P-CDD-262],pedido,TRUE,cadenas_dijes/cadena_dije_8.jpg,Collar en plata ley 925 baño en oro rosa rombo.
Cadena con dije harry potter,cadenas_dijes,23,[P-CDD-179],pedido,TRUE,cadenas_dijes/cadena_dije_9.jpg,Collar plata 925 baño rodio tono rosa harry potter.
Cadena con dije punto de luz,cadenas_dijes,23,[P-CDD-178],pedido,TRUE,cadenas_dijes/cadena_dije_10.jpg,Collar plata 925 baño rodio tono rosa circón punto de luz.
Cadena con dije círculo,cadenas_dijes,23,[P-CDD-175],pedido,TRUE,cadenas_dijes/cadena_dije_11.jpg,Collar plata 925 baño rodio dorado círculo microcircones blancos.
Cadena con dije pez,cadenas_dijes,23,[P-CDD-172],pedido,TRUE,cadenas_dijes/cadena_dije_12.jpg,Collar plata 925 baño rodio dorado pez perlitas.
Cadena con dije saturno,cadenas_dijes,23,[P-CDD-170],pedido,TRUE,cadenas_dijes/cadena_dije_13.jpg,Collar plata 925 baño rodio llave saturno ópalo.
Cadena con dije luna saturno,cadenas_dijes,23,[P-CDD-168],pedido,TRUE,cadenas_dijes/cadena_dije_14.jpg,Collar plata 925 baño rodio media luna saturno ópalo.
Cadena con dije látido,cadenas_dijes,23,[P-CDD-166],pedido,TRUE,cadenas_dijes/cadena_dije_15.jpg,Collar plata 925 baño rodio látido corazón.
Cadena con dije hojita,cadenas_dijes,23,[P-CDD-250],pedido,TRUE,cadenas_dijes/cadena_dije_16.jpg,Collar en plata ley 925 dije hojita.
Cadena con dije círculo N° 1,cadenas_dijes,23,[P-CDD-245],pedido,TRUE,cadenas_dijes/cadena_dije_17.jpg,Collar plata 925 baño rodio círculo cristales.
Cadena con dije doble círculo,cadenas_dijes,23,[P-CDD-253],pedido,TRUE,cadenas_dijes/cadena_dije_18.jpg,Collar en plata ley 925 baño oro gold rose doble círculo.
Cadena con dije círculo N° 2,cadenas_dijes,26,[P-CDD-255],pedido,TRUE,cadenas_dijes/cadena_dije_19.jpg,Collar en plata ley 925 círculo microcircones.
Cadena con dije círculo nácar,cadenas_dijes,26,[P-CDD-256],pedido,TRUE,cadenas_dijes/cadena_dije_20.jpg,Collar en plata ley 925 círculo nácar.
Cadena con dije cuarzo,cadenas_dijes,28,[P-CDD-244],pedido,TRUE,cadenas_dijes/cadena_dije_21.jpg,Collar en plata ley 925 cuarzo natural.
Cadena con dije cruces,cadenas_dijes,28,[P-CDD-235],pedido,TRUE,cadenas_dijes/cadena_dije_22.jpg,Collar en plata ley 925 dijes cruces.
Cadena con dije mariposa,cadenas_dijes,28,[P-CDD-233],pedido,TRUE,cadenas_dijes/cadena_dije_23.jpg,Collar en plata ley 925 mariposa microcircones blancos.
Cadena con dije mariposas N° 1,cadenas_dijes,30,[P-CDD-238],pedido,TRUE,cadenas_dijes/cadena_dije_24.jpg,Collar en plata ley 925 dijes mariposa modelo 2.
Cadena con dije mariposas N° 2,cadenas_dijes,30,[P-CDD-239],pedido,TRUE,cadenas_dijes/cadena_dije_25.jpg,Collar en plata ley 925 dijes mariposa.
Cadena con dije círculo sol,cadenas_dijes,30,[P-CDD-237],pedido,TRUE,cadenas_dijes/cadena_dije_26.jpg,Collar en plata ley 925 círculo sol.
Cadena con dije van cleef,cadenas_dijes,35,[P-CDD-236],pedido,TRUE,cadenas_dijes/cadena_dije_27.jpg,Collar en plata ley 925 dijes van cleef.
Cadena con dije doble círculos,cadenas_dijes,32,[P-CDD-110],pedido,TRUE,cadenas_dijes/cadena_dije_28.jpg,Collar en plata ley 925 doble círculos cristales.
Cadena con dije corazones,cadenas_dijes,32,[P-CDD-109],pedido,TRUE,cadenas_dijes/cadena_dije_29.jpg,Collar en plata ley 925 doble corazones.
Cadena con van cleef,cadenas_dijes,35,[P-CDD-114],pedido,TRUE,cadenas_dijes/cadena_dije_30.jpg,Collar en plata ley 925 van cleef negro.
